Média (descartando maior e menor): 8178,666666666667 ms

### Selection Sort - Decrescente - N = 30000 ###
Experimento 1: Tempo = 8077 ms, Memória = 8224 bytes
Experimento 2: Tempo = 8060 ms, Memória = 8224 bytes
Experimento 3: Tempo = 8159 ms, Memória = 8224 bytes
Experimento 4: Tempo = 8115 ms, Memória = 8224 bytes
Experimento 5: Tempo = 8088 ms, Memória = 8224 bytes
Média (descartando maior e menor): 8093,333333333333 ms

### Selection Sort - Aleatório - N = 30000 ###
Experimento 1: Tempo = 7288 ms, Memória = 8224 bytes
Experimento 2: Tempo = 7374 ms, Memória = 8224 bytes
Experimento 3: Tempo = 7536 ms, Memória = 8224 bytes
Experimento 4: Tempo = 7283 ms, Memória = 8224 bytes
Experimento 5: Tempo = 7277 ms, Memória = 8224 bytes
Média (descartando maior e menor): 7315 ms

### Bubble Sort - Crescente - N = 45000 ###
Experimento 1: Tempo = 27591 ms, Memória = 8224 bytes
Experimento 2: Tempo = 27093 ms, Memória = 8224 bytes
Experimento 3: Tempo = 29030 ms, Memória = 8224 bytes
Experimento 4: Tempo = 27464 ms, Memória = 8224 bytes
Experimento 5: Tempo = 27190 ms, Memória = 8224 bytes
Média (descartando maior e menor): 27415 ms

### Bubble Sort - Decrescente - N = 45000 ###
Experimento 1: Tempo = 48130 ms, Memória = 8224 bytes
Experimento 2: Tempo = 45596 ms, Memória = 8224 bytes
Experimento 3: Tempo = 46721 ms, Memória = 8224 bytes
Experimento 4: Tempo = 42974 ms, Memória = 8224 bytes
Experimento 5: Tempo = 46110 ms, Memória = 8224 bytes
Média (descartando maior e menor): 46142,333333333336 ms

### Bubble Sort - Aleatório - N = 45000 ###
Experimento 1: Tempo = 35114 ms, Memória = 8224 bytes
Experimento 2: Tempo = 35752 ms, Memória = 8224 bytes
Experimento 3: Tempo = 36647 ms, Memória = 8224 bytes
Experimento 4: Tempo = 36289 ms, Memória = 8224 bytes
Experimento 5: Tempo = 35598 ms, Memória = 8224 bytes
Média (descartando maior e menor): 35879,666666666664 ms

### Insertion Sort - Crescente - N = 45000 ###
Experimento 1: Tempo = 2 ms, Memória = 8224 bytes
Experimento 2: Tempo = 3 ms, Memória = 8224 bytes
Experimento 3: Tempo = 2 ms, Memória = 8224 bytes
Experimento 4: Tempo = 2 ms, Memória = 8224 bytes
Experimento 5: Tempo = 2 ms, Me
